-4.05		1.7		0		6.28318		0.01767670		0.00365611
-3		0.4		0		6.28318		0.01193680		0.00269144
-2.65		0.3		0		6.28318		0.02863680		0.00253709
-2.385		0.17		0		6.28318		-0.00182836		0.00124745
-2.2		0.2		0		6.28318		0.00379822		0.00094802
-2		0.2		0		6.28318		0.00949851		0.00094137
-1.8		0.2		0		6.28318		0.00388223		0.00097271
-1.61		0.18		0		6.28318		-0.00630638		0.00130736
-1.445		0.15		0		6.28318		-0.01459190		0.00170269
-1.285		0.17		0		6.28318		0.00191748		0.00091738
-1.1		0.2		0		6.28318		0.00120518		0.00076709
-0.9		0.2		0		6.28318		-0.00116847		0.00072777
-0.7		0.2		0		6.28318		0.00316491		0.00067059
-0.5		0.2		0		6.28318		0.00534383		0.00063910
-0.3		0.2		0		6.28318		-0.00259050		0.00064532
-0.1		0.2		0		6.28318		-0.00303995		0.00063576
0.1		0.2		0		6.28318		-0.00114055		0.00066304
0.3		0.2		0		6.28318		-0.00152093		0.00064027
0.5		0.2		0		6.28318		0.00346042		0.00066183
0.7		0.2		0		6.28318		0.00316020		0.00068352
0.9		0.2		0		6.28318		-6.51986e-05		0.00075179
1.1		0.2		0		6.28318		0.00237845		0.00080414
1.285		0.17		0		6.28318		0.00391017		0.00093506
1.445		0.15		0		6.28318		-0.01056940		0.00167934
1.61		0.18		0		6.28318		-0.01190480		0.00131510
1.8		0.2		0		6.28318		-0.00177316		0.00097932
2		0.2		0		6.28318		-0.00101658		0.00095425
2.2		0.2		0		6.28318		-0.00430559		0.00097240
2.385		0.17		0		6.28318		-0.01101630		0.00127444
2.65		0.3		0		6.28318		0.01681920		0.00258217
3		0.4		0		6.28318		0.01459770		0.00265290
4.05		1.7		0		6.28318		0.00328200		0.00360700
